Puertos,Hora,Hostname,Estatus,Estado,Nombre
400,Sun Oct 22 17:43:47 2023,svgel26.cloud-mx-ns.net,up,filtered,work-sol
401,Sun Oct 22 17:43:48 2023,svgel26.cloud-mx-ns.net,up,filtered,ups
402,Sun Oct 22 17:43:49 2023,svgel26.cloud-mx-ns.net,up,filtered,genie
403,Sun Oct 22 17:43:49 2023,svgel26.cloud-mx-ns.net,up,filtered,decap
404,Sun Oct 22 17:43:50 2023,svgel26.cloud-mx-ns.net,up,filtered,nced
405,Sun Oct 22 17:43:51 2023,svgel26.cloud-mx-ns.net,up,filtered,ncld
406,Sun Oct 22 17:43:51 2023,svgel26.cloud-mx-ns.net,up,filtered,imsp
407,Sun Oct 22 17:43:52 2023,svgel26.cloud-mx-ns.net,up,filtered,timbuktu
408,Sun Oct 22 17:43:53 2023,svgel26.cloud-mx-ns.net,up,filtered,prm-sm
409,Sun Oct 22 17:43:54 2023,svgel26.cloud-mx-ns.net,up,filtered,prm-nm
410,Sun Oct 22 17:43:54 2023,svgel26.cloud-mx-ns.net,up,filtered,decladebug
411,Sun Oct 22 17:43:55 2023,svgel26.cloud-mx-ns.net,up,filtered,rmt
412,Sun Oct 22 17:43:56 2023,svgel26.cloud-mx-ns.net,up,filtered,synoptics-trap
413,Sun Oct 22 17:43:56 2023,svgel26.cloud-mx-ns.net,up,filtered,smsp
414,Sun Oct 22 17:43:57 2023,svgel26.cloud-mx-ns.net,up,filtered,infoseek
415,Sun Oct 22 17:43:58 2023,svgel26.cloud-mx-ns.net,up,filtered,bnet
416,Sun Oct 22 17:43:58 2023,svgel26.cloud-mx-ns.net,up,filtered,silverplatter
417,Sun Oct 22 17:43:59 2023,svgel26.cloud-mx-ns.net,up,filtered,onmux
418,Sun Oct 22 17:44:00 2023,svgel26.cloud-mx-ns.net,up,filtered,hyper-g
419,Sun Oct 22 17:44:01 2023,svgel26.cloud-mx-ns.net,up,filtered,ariel1
420,Sun Oct 22 17:44:01 2023,svgel26.cloud-mx-ns.net,up,filtered,smpte
421,Sun Oct 22 17:44:02 2023,svgel26.cloud-mx-ns.net,up,filtered,ariel2
422,Sun Oct 22 17:44:03 2023,svgel26.cloud-mx-ns.net,up,filtered,ariel3
423,Sun Oct 22 17:44:04 2023,svgel26.cloud-mx-ns.net,up,filtered,opc-job-start
424,Sun Oct 22 17:44:04 2023,svgel26.cloud-mx-ns.net,up,filtered,opc-job-track
425,Sun Oct 22 17:44:05 2023,svgel26.cloud-mx-ns.net,up,filtered,icad-el
426,Sun Oct 22 17:44:06 2023,svgel26.cloud-mx-ns.net,up,filtered,smartsdp
427,Sun Oct 22 17:44:07 2023,svgel26.cloud-mx-ns.net,up,filtered,svrloc
428,Sun Oct 22 17:44:07 2023,svgel26.cloud-mx-ns.net,up,filtered,ocs_cmu
429,Sun Oct 22 17:44:08 2023,svgel26.cloud-mx-ns.net,up,filtered,ocs_amu
430,Sun Oct 22 17:44:09 2023,svgel26.cloud-mx-ns.net,up,filtered,utmpsd
431,Sun Oct 22 17:44:10 2023,svgel26.cloud-mx-ns.net,up,filtered,utmpcd
432,Sun Oct 22 17:44:10 2023,svgel26.cloud-mx-ns.net,up,filtered,iasd
433,Sun Oct 22 17:44:11 2023,svgel26.cloud-mx-ns.net,up,filtered,nnsp
434,Sun Oct 22 17:44:12 2023,svgel26.cloud-mx-ns.net,up,filtered,mobileip-agent
435,Sun Oct 22 17:44:12 2023,svgel26.cloud-mx-ns.net,up,filtered,mobilip-mn
436,Sun Oct 22 17:44:13 2023,svgel26.cloud-mx-ns.net,up,filtered,dna-cml
437,Sun Oct 22 17:44:14 2023,svgel26.cloud-mx-ns.net,up,filtered,comscm
438,Sun Oct 22 17:44:15 2023,svgel26.cloud-mx-ns.net,up,filtered,dsfgw
439,Sun Oct 22 17:44:15 2023,svgel26.cloud-mx-ns.net,up,filtered,dasp
440,Sun Oct 22 17:44:16 2023,svgel26.cloud-mx-ns.net,up,filtered,sgcp
441,Sun Oct 22 17:44:17 2023,svgel26.cloud-mx-ns.net,up,filtered,decvms-sysmgt
442,Sun Oct 22 17:44:17 2023,svgel26.cloud-mx-ns.net,up,filtered,cvc_hostd
443,Sun Oct 22 17:44:18 2023,svgel26.cloud-mx-ns.net,up,open,https
444,Sun Oct 22 17:44:18 2023,svgel26.cloud-mx-ns.net,up,filtered,snpp
445,Sun Oct 22 17:44:19 2023,svgel26.cloud-mx-ns.net,up,filtered,microsoft-ds
446,Sun Oct 22 17:44:20 2023,svgel26.cloud-mx-ns.net,up,filtered,ddm-rdb
447,Sun Oct 22 17:44:21 2023,svgel26.cloud-mx-ns.net,up,filtered,ddm-dfm
448,Sun Oct 22 17:44:21 2023,svgel26.cloud-mx-ns.net,up,filtered,ddm-ssl
449,Sun Oct 22 17:44:22 2023,svgel26.cloud-mx-ns.net,up,filtered,as-servermap
450,Sun Oct 22 17:44:23 2023,svgel26.cloud-mx-ns.net,up,filtered,tserver
